name	asset_guid
Artist	ff2080313af9845419855621c78593af
Bobby "Blind Eye"	8370312c3805ed3459f551ac384d3ecf
Chief of Police	2506c6235afcc8342adf75e17563da2f
Empire Observer	0337fbdce3798492ba8fa0e33b1aa25c
High Society	e6cd4608f1d6bd64391221586e3f04fe
Jersey Beacon	fdc681fe36143452595f0f752a0897e7
Priest	054dec43906a1a74caa51b508533b3de
Roman Priest	c38185e1586334107bcc458a0b1ff72f
The General	7cb1cac000a5247d4b80beaee79ae4fe
The Mafia	6373f00f9b47f46338bd19988177bef5
The Mayor	2487fc06764b4b4439939cbb3b5d8e24
Veteran	bfcdea46325dc6f448d6fdf85e5eea93
William Kingsland	d7828186624aa4eb08ecc47c1990385c
