category	name	asset_guid
Job	Production	bba2a6ae272ba454191c1646e3d1a103
Job	Reporter	131c6dd8de59d4b4fb28a392873924b6
Job	Utility	3afd5dd3f4c5e93478aeecda6ca7aa50
Skill	Assembling	8e82f5154ff3942f79926917084ea23d
Skill	Cartographer	804222c3ffed344bb9a02909a8639a41
Skill	Cooking	7f5e0609e7ae1f14c95e46e85f4e1295
Skill	Crime	273050508eec54097b9b86694fd15e65
Skill	Darkroom Technician	986ceeeca9f9a421c95d1970af531431
Skill	Economy	98438e7ac34b340be9df25ca31be393f
Skill	Editor	415651e2ad87440c19f2e05d9eec9bc3
Skill	Engraver	35c6e8a1ae421dc4e9c4efa8d8faaab0
Skill	Entertainment	97fc317e1cb4a4c7d98822fae05b9578
Skill	Illustrator	d1015d6b8508f4384b5fa15740df3a62
Skill	Lawyer	54cd4ae65825f48caa389cd1fe46cd01
Skill	Photo Processor	ac8cc92b4411c054c9aeeabe117abf52
Skill	Photographer	a67e49a8441914c088116195881e8e0f
Skill	Politics	3a102d6c3c624456e900349fe9e5f48d
Skill	Repairing	5ed499cae6f3e455d9191338342b872d
Skill	Sales	467d1d97855ad453491d10df222406a9
Skill	Security	c2feb2489c2c04d4fa234b17a91ae52d
Skill	Society	2d596c92c7afe4c1cb49eb2ed0c5ee53
Skill	Sports	70e2b257b784c4ddf9b4dc16ca0fbf66
Skill	Sweeping	f3841f0a85d2c43668a153a2f2487282
Skill	Telegrapher	0a99a8893fbb25f45b03ed5a4e5a336c
Skill	Transporting	f8ff9f0cf249d4d62932d71e6cd0ebf8
Skill	Typesetting	eac0f442cbf748746b2448978cf6ed42
Skill	Washing	80e58c7a3fb736447afaf93836eb22d6
