category	name	asset_guid
Personality	Athletic	c2127efaa5f9a40c8a86bb01c2e6b261
Personality	Big Bladder	33c7c2423189c4afc9ad4505444d89a7
Personality	Big Eater	768a10eb9ca5242b5adde092a85c10ef
Personality	Bigwig	6933f54ad9dd54e76a5000e8fbcce831
Personality	Breatharian	57da9de277d74434a855732d67bbaad6
Personality	Breezy	1dcb3ba8cae061b4e896c2637819f38e
Personality	Bulldozer	c6440651cd09f475eba18a53037e9c46
Personality	Careful	2e726a99d51b34c19b0b74a056f22201
Personality	Celebrity	68bffaae4e6444dbe9266e20185bec1a
Personality	Chameleon	54b2a2633f0b85c45bdb194684ba3684
Personality	Cheap	5d18c9029c53e4cee88abdfdc5d66fcb
Personality	Cool Cat	de9162155158f4d0698d8905a301021e
Personality	Courageous	51899e5ee2d8d4a0fbedc09887c1dd2a
Personality	Deadline Driven	933cc17c7a33740e5b54e3ca781524fd
Personality	Frugal	0ed8f4c4200114c888d54204892cec40
Personality	Gambler	6bf404c0f93d042ecb800166a17ad20c
Personality	Highlander	5728ce14cd08640f6ac95860c81e1a88
Personality	Loner	442637a172c9c3d4285f17e76fff19b2
Personality	Lucky	49cc1d17021e341ab9927f3769f2da2b
Personality	Messy	c483a80fc13874c878fa7418b7d1dc28
Personality	Methodical	301277c2a5f6e45758b3b0e80297c618
Personality	Monday Blues	dd6e16ea8afe649e29ec664cfe8a0be3
Personality	Motivator	1e5e35bffc84b4dda9aaf7dd77d75908
Personality	Musical	4c66843f67785424d9e6425e98e8d523
Personality	Natural Climber	c4cb0cc91c701451983129c7c4785e95
Personality	Natural Coordinator	4f1a4fcdb297c4dd8a2f9450e2c00260
Personality	Natural Timekeeper	4eec634584077497c9317c5f759fea16
Personality	Nocturnal	d8900beb45b534d4db3e357c751f4e20
Personality	Noisy	cfbe593a6989c4f48b49b1f9cfbad71d
Personality	Office Clown	e21ef5ed546134bb48f715b375772df8
Personality	Orderly	f7e14ca3d231d478cb5934fbf2ac59c1
Personality	Perfume	6072bd863c125460abed5dacfbd0ba2c
Personality	Psychic	4a9c7ca73676ff947852f787ea158da9
Personality	Quick Starter	41cd441ac4bd84331a981753be5f1b2f
Personality	Quick Study	c3c925c668b904087a88d95e3ec4dbc5
Personality	Resilient	30fcea29e999d42adbe8938cc50eb89d
Personality	Sloth	cc8646f2c13ea4cc084d3359149c5c09
Personality	Slow Walker	4b3e8bdf6359a46f89f675fafd34aa38
Personality	Smelly	713e233531be74299a6827bd0d2be99d
Personality	Strong	49231852939e64e3a9ecdbb6fdbe666e
Personality	Versatile	2f6284e345d2646ce87c30a833bdbf23
Personality	Yearly Peaker	acc1e8bbaa05845a58b690d44751f064
Trainable	Ad On	4c051b2315b384c94a35a695882587f8
Trainable	Anointed Pen	138d25f0a096b274393eb4a86663f173
Trainable	Astrologist	7d5c9ab511c2df5418302a86eb7738db
Trainable	Berlin Observer	ee6ef85da0825c5418b6023147dba59a
Trainable	Bloodhound	75bb6dbbde8b10b4787a19396cc87fcb
Trainable	Brand Strategist	f48042e889c96424f9160dfe0b04f27f
Trainable	Clutch Performer	ecaaaf0bbb872456b9fd12d1ea36f725
Trainable	Continental Connector	52984ab0448e9e54bbbb6fd298da0229
Trainable	Coordinator	480604ee3b78444f6b04452ba1603c5f
Trainable	Corner Cutter	b8e4558e5928a4959a79019e4f7b25ef
Trainable	Crime Specialist	38c8c41d25b5b4d9e80092e11860691c
Trainable	Digger	5b31b4c717918457c9f0f53fecba7c1f
Trainable	Diplomat	b60db076d4a274240a97b458b4080287
Trainable	Distinguished Guest	9defb220c43c84aaf9b11f3b928f3a81
Trainable	Double Down	b8b4b9b5826e94ecdaef61693aaa5e6f
Trainable	Economist	d12e9975266ba488a9712ec78b6c1a6f
Trainable	Eleventh Hour	7bc8942665ce64565853cfdb161569b4
Trainable	Fast Sweeper	2cee25d6baccf46cb9e7888a8ffebac0
Trainable	Finisher	0c597025d9d274beb82ea49839e1bfb4
Trainable	First Aid	1bc4c2da80e774fe1a10ca2247caaea7
Trainable	Full House	8b9bbed52d65144c197235aa1a28a8f1
Trainable	Gumshoe	3cad572b8a3bf473eb745502624fce00
Trainable	Harmonize	4489231f0faf7411cb78a9231a5ccb40
Trainable	In The Loop	1fd3448790d1341ec946b990e9fc41e7
Trainable	Informant	ee385aaf2e6184b568e396798bcc2469
Trainable	Informationalist	1bdc6175b6a6c4db28e4543ffc8fd9cb
Trainable	Kremlin Confidant	5c156fb0c4bee9d439e4da7dd5ed5f06
Trainable	Legal Advisor	7c0a8b7b2977f4384b4c13859053c5ff
Trainable	Line Worker	749dfefa16b7e499c8792371d7cfb94a
Trainable	Locker Room Insider	651e4f237479fe54c9a0f7c67ae462f2
Trainable	London Insider	7a6b4511c95372546b4dd1880b99e1a3
Trainable	Market Maven	5b145c74f527f6343a4f8495ec967da3
Trainable	Military Training	8c2f37a2e9f4c6247babf988903309c1
Trainable	Mountain Of A Mole	852d52ff05a47448fbbaf4563d26a912
Trainable	Number Cruncher	0cd4799dbf3f84d67ab69bc8ee755c73
Trainable	Overtime	b5d3035f34a1c430d881754ddaa55bc5
Trainable	Parisian Socialite	273662fed9e138847960548528c0efd0
Trainable	Perception Inverter	b0cb1939bb1f941c3b5aa0b5746d0b0a
Trainable	Perfect Angle	895c98a02b9ff44eaa2fc358f85b435c
Trainable	Policy Hawk	1e8ac195ae38af543b9be28ee99e018a
Trainable	Politics Insider	3b848b521705448fe9adca2135cb5e42
Trainable	Polyglot	ec84fca8bb87b7e43b13a3cfff3e277c
Trainable	Poo Patrol	2701c2e3694c62c4cb22fc21d60b385e
Trainable	Power Broker	0bb745413467e4be089221266a610c42
Trainable	Powerlifting	1fc4d4ecb512346e5a61f8a52e9ffd26
Trainable	Press Agent	8de012b6ae0b3406096b71cf245cc621
Trainable	Prime Pencil	f356dfed7fed043bc9eecbb67a61349d
Trainable	Professor Of The Arts	387d452120ab74c52b6dc07c067cca74
Trainable	Quick Cleaner	820338733b87142bb9ff1fc20c52b25f
Trainable	Rapid Repair	a5d586dc120e04008a272c8754866061
Trainable	Roman Consul	28ef572d2ac983b46a25296b248a4b7a
Trainable	Second Fiddle	f4c427c6134f04865bbf33d44febf9c6
